n,n_valuable,n_false_stops,stop_rate,valuable_run_recall,valuable_false_stop_rate,endpoint_observation_rate,mean_true_outcome,mean_observed_outcome,endpoint_selection_bias,simple_regret_batch,mae,rmse,spearman,seed,stop_quantile,learner,round
9,1,0,0.2222222222222222,1.0,0.0,0.7777777777777778,0.6865828038515341,0.6884388056944435,0.0018560018429093494,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.1,oracle_all_endpoints,1
9,1,0,0.2222222222222222,1.0,0.0,0.7777777777777778,0.6865828038515341,0.6884388056944435,0.0018560018429093494,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.1,completed_only,1
9,1,0,0.2222222222222222,1.0,0.0,0.7777777777777778,0.6865828038515341,0.6884388056944435,0.0018560018429093494,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.1,static_initial,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.15,oracle_all_endpoints,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.15,completed_only,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.15,static_initial,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.2,oracle_all_endpoints,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.2,completed_only,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.2,static_initial,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.25,oracle_all_endpoints,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.25,completed_only,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.25,static_initial,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.3,oracle_all_endpoints,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.3,completed_only,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.3,static_initial,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.35,oracle_all_endpoints,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.35,completed_only,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.35,static_initial,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.4,oracle_all_endpoints,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.4,completed_only,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.4,static_initial,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.45,oracle_all_endpoints,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.45,completed_only,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.45,static_initial,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.5,oracle_all_endpoints,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.5,completed_only,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.5,static_initial,1
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.55,oracle_all_endpoints,1
