n,stop_rate,valuable_run_recall,valuable_false_stop_rate,endpoint_observation_rate,mean_true_outcome,mean_observed_outcome,endpoint_selection_bias,simple_regret_batch,mae,rmse,spearman,learner,seed,stop_quantile,round
9,0.1111111111111111,1.0,0.0,0.8888888888888888,0.6865828038515341,0.6868443850103026,0.00026158115876850907,0.0,0.06662896434019769,0.12211575274748994,0.5833333333333334,oracle_all_endpoints,0,0.2,1
9,0.1111111111111111,1.0,0.0,0.8888888888888888,0.6865828038515341,0.6868443850103026,0.00026158115876850907,0.0,0.06842539877350157,0.12252731249615624,0.5833333333333334,completed_only,0,0.2,1
9,0.1111111111111111,1.0,0.0,0.8888888888888888,0.6865828038515341,0.6868443850103026,0.00026158115876850907,0.0,0.0703578905219909,0.12388500084779892,0.48333333333333334,static_initial,0,0.2,1
9,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6558392615230022,0.68291312541276,0.027073863889757743,0.0,0.04400825593878616,0.05851857921772036,0.9166666666666666,oracle_all_endpoints,0,0.2,2
9,0.4444444444444444,1.0,0.0,0.5555555555555556,0.6558392615230022,0.6940713973686574,0.03823213584565521,0.0,0.04218115917913656,0.058654041076915055,0.8833333333333333,completed_only,0,0.2,2
9,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6558392615230022,0.68291312541276,0.027073863889757743,0.0,0.09731193748736208,0.13523340508904994,0.8166666666666667,static_initial,0,0.2,2
12,0.08333333333333333,1.0,0.0,0.9166666666666666,0.6564752935153074,0.6541343356305055,-0.002340957884801931,0.0,0.07153429330003415,0.10607284070627117,0.4125874125874127,oracle_all_endpoints,0,0.2,3
12,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6564752935153074,0.6780598238644497,0.021584530349142317,0.0,0.07989790351668771,0.11240980375306994,0.09090909090909093,completed_only,0,0.2,3
12,0.4166666666666667,1.0,0.0,0.5833333333333334,0.6564752935153074,0.678469719396399,0.021994425881091573,0.0,0.08403340487540478,0.11916297267991689,0.15384615384615385,static_initial,0,0.2,3
2,0.0,,,1.0,0.6804181316544979,0.6804181316544979,0.0,0.0,0.009368093902829389,0.009436055058502433,,oracle_all_endpoints,0,0.2,4
2,0.0,,,1.0,0.6804181316544979,0.6804181316544979,0.0,0.0,0.003802390987637738,0.004857066107809276,,completed_only,0,0.2,4
2,0.0,,,1.0,0.6804181316544979,0.6804181316544979,0.0,0.0,0.02687147467828105,0.029517995089949078,,static_initial,0,0.2,4
9,0.1111111111111111,1.0,0.0,0.8888888888888888,0.6865828038515341,0.6868443850103026,0.00026158115876850907,0.0,0.06662896434019769,0.12211575274748994,0.5833333333333334,oracle_all_endpoints,0,0.3,1
9,0.1111111111111111,1.0,0.0,0.8888888888888888,0.6865828038515341,0.6868443850103026,0.00026158115876850907,0.0,0.06842539877350157,0.12252731249615624,0.5833333333333334,completed_only,0,0.3,1
9,0.1111111111111111,1.0,0.0,0.8888888888888888,0.6865828038515341,0.6868443850103026,0.00026158115876850907,0.0,0.0703578905219909,0.12388500084779892,0.48333333333333334,static_initial,0,0.3,1
9,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6558392615230022,0.68291312541276,0.027073863889757743,0.0,0.04400825593878616,0.05851857921772036,0.9166666666666666,oracle_all_endpoints,0,0.3,2
9,0.4444444444444444,1.0,0.0,0.5555555555555556,0.6558392615230022,0.6940713973686574,0.03823213584565521,0.0,0.04218115917913656,0.058654041076915055,0.8833333333333333,completed_only,0,0.3,2
9,0.4444444444444444,1.0,0.0,0.5555555555555556,0.6558392615230022,0.6940713973686574,0.03823213584565521,0.0,0.09731193748736208,0.13523340508904994,0.8166666666666667,static_initial,0,0.3,2
12,0.16666666666666666,1.0,0.0,0.8333333333333334,0.6564752935153074,0.6761491482140676,0.01967385469876015,0.0,0.07153429330003415,0.10607284070627117,0.4125874125874127,oracle_all_endpoints,0,0.3,3
12,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6564752935153074,0.6780598238644497,0.021584530349142317,0.0,0.07989790351668771,0.11240980375306994,0.09090909090909093,completed_only,0,0.3,3
12,0.4166666666666667,1.0,0.0,0.5833333333333334,0.6564752935153074,0.678469719396399,0.021994425881091573,0.0,0.08403340487540478,0.11916297267991689,0.15384615384615385,static_initial,0,0.3,3
2,0.0,,,1.0,0.6804181316544979,0.6804181316544979,0.0,0.0,0.009368093902829389,0.009436055058502433,,oracle_all_endpoints,0,0.3,4
2,0.0,,,1.0,0.6804181316544979,0.6804181316544979,0.0,0.0,0.003802390987637738,0.004857066107809276,,completed_only,0,0.3,4
2,0.0,,,1.0,0.6804181316544979,0.6804181316544979,0.0,0.0,0.02687147467828105,0.029517995089949078,,static_initial,0,0.3,4
9,0.2222222222222222,1.0,0.0,0.7777777777777778,0.6865828038515341,0.687621931006224,0.0010391271546899006,0.0,0.06662896434019769,0.12211575274748994,0.5833333333333334,oracle_all_endpoints,0,0.4,1
9,0.1111111111111111,1.0,0.0,0.8888888888888888,0.6865828038515341,0.6868443850103026,0.00026158115876850907,0.0,0.06842539877350157,0.12252731249615624,0.5833333333333334,completed_only,0,0.4,1
9,0.1111111111111111,1.0,0.0,0.8888888888888888,0.6865828038515341,0.6868443850103026,0.00026158115876850907,0.0,0.0703578905219909,0.12388500084779892,0.48333333333333334,static_initial,0,0.4,1
9,0.4444444444444444,1.0,0.0,0.5555555555555556,0.6558392615230022,0.6940713973686574,0.03823213584565521,0.0,0.04400825593878616,0.05851857921772036,0.9166666666666666,oracle_all_endpoints,0,0.4,2
9,0.4444444444444444,1.0,0.0,0.5555555555555556,0.6558392615230022,0.6940713973686574,0.03823213584565521,0.0,0.04218115917913656,0.058654041076915055,0.8833333333333333,completed_only,0,0.4,2
9,0.4444444444444444,1.0,0.0,0.5555555555555556,0.6558392615230022,0.6940713973686574,0.03823213584565521,0.0,0.09731193748736208,0.13523340508904994,0.8166666666666667,static_initial,0,0.4,2
12,0.25,1.0,0.0,0.75,0.6564752935153074,0.684252200758492,0.0277769072431846,0.0,0.07153429330003415,0.10607284070627117,0.4125874125874127,oracle_all_endpoints,0,0.4,3
12,0.4166666666666667,1.0,0.0,0.5833333333333334,0.6564752935153074,0.6813041168043047,0.02482882328899727,0.0,0.07989790351668771,0.11240980375306994,0.09090909090909093,completed_only,0,0.4,3
12,0.5,1.0,0.0,0.5,0.6564752935153074,0.6823230437482216,0.02584775023291419,0.0,0.08403340487540478,0.11916297267991689,0.15384615384615385,static_initial,0,0.4,3
