n,n_valuable,n_false_stops,stop_rate,valuable_run_recall,valuable_false_stop_rate,endpoint_observation_rate,mean_true_outcome,mean_observed_outcome,endpoint_selection_bias,simple_regret_batch,mae,rmse,spearman,seed,stop_quantile,learner
32,5,0,0.0625,1.0,0.0,0.9375,0.6662605741832348,0.6653388259686933,-0.0009217482145414957,0.0,0.07269545171427119,0.10300975701067515,0.19024926686217006,0,0.1,completed_only
32,5,0,0.0625,1.0,0.0,0.9375,0.6662605741832348,0.6653388259686933,-0.0009217482145414957,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.1,oracle_all_endpoints
32,5,0,0.15625,1.0,0.0,0.84375,0.6662605741832348,0.6756928529758217,0.009432278792586901,0.0,0.0718085456229297,0.10235511905499538,0.3900293255131964,0,0.1,static_initial
32,5,0,0.34375,1.0,0.0,0.65625,0.6662605741832348,0.6729330026267932,0.00667242844355842,0.0,0.06691877821613773,0.09598659234272734,0.26832844574780057,0,0.15,completed_only
32,5,0,0.25,1.0,0.0,0.75,0.6662605741832348,0.6722014667971226,0.005940892613887749,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.15,oracle_all_endpoints
32,5,0,0.40625,1.0,0.0,0.59375,0.6662605741832348,0.6771204012684628,0.010859827085228035,0.0,0.0718085456229297,0.10235511905499538,0.3900293255131964,0,0.15,static_initial
32,5,0,0.34375,1.0,0.0,0.65625,0.6662605741832348,0.6729330026267932,0.00667242844355842,0.0,0.06691877821613773,0.09598659234272734,0.26832844574780057,0,0.2,completed_only
32,5,0,0.25,1.0,0.0,0.75,0.6662605741832348,0.6722014667971226,0.005940892613887749,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.2,oracle_all_endpoints
32,5,0,0.40625,1.0,0.0,0.59375,0.6662605741832348,0.6771204012684628,0.010859827085228035,0.0,0.0718085456229297,0.10235511905499538,0.3900293255131964,0,0.2,static_initial
32,5,0,0.34375,1.0,0.0,0.65625,0.6662605741832348,0.6729330026267932,0.00667242844355842,0.0,0.06691877821613773,0.09598659234272734,0.26832844574780057,0,0.25,completed_only
32,5,0,0.28125,1.0,0.0,0.71875,0.6662605741832348,0.6722938998737937,0.006033325690558922,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.25,oracle_all_endpoints
32,5,0,0.40625,1.0,0.0,0.59375,0.6662605741832348,0.6771204012684628,0.010859827085228035,0.0,0.0718085456229297,0.10235511905499538,0.3900293255131964,0,0.25,static_initial
32,5,0,0.34375,1.0,0.0,0.65625,0.6662605741832348,0.6729330026267932,0.00667242844355842,0.0,0.06691877821613773,0.09598659234272734,0.26832844574780057,0,0.3,completed_only
