n,n_valuable,n_false_stops,stop_rate,valuable_run_recall,valuable_false_stop_rate,endpoint_observation_rate,mean_true_outcome,mean_observed_outcome,endpoint_selection_bias,simple_regret_batch,mae,rmse,spearman,seed,stop_quantile,learner,round
9,1,0,0.2222222222222222,1.0,0.0,0.7777777777777778,0.6865828038515341,0.6884388056944435,0.0018560018429093494,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.1,completed_only,1
18,3,0,0.1111111111111111,1.0,0.0,0.8888888888888888,0.6712110326872681,0.6701015620980078,-0.001109470589260364,0.0,0.0654678426888405,0.08833545583903217,0.3312693498452013,0,0.1,completed_only,2
30,5,0,0.06666666666666667,1.0,0.0,0.9333333333333333,0.6653167370184837,0.6642617327054217,-0.0010550043130620468,0.0,0.07321643245717083,0.10496227750990637,0.19243604004449388,0,0.1,completed_only,3
32,5,0,0.0625,1.0,0.0,0.9375,0.6662605741832348,0.6653388259686933,-0.0009217482145414957,0.0,0.07269545171427119,0.10300975701067515,0.19024926686217006,0,0.1,completed_only,4
9,1,0,0.2222222222222222,1.0,0.0,0.7777777777777778,0.6865828038515341,0.6884388056944435,0.0018560018429093494,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.1,oracle_all_endpoints,1
18,3,0,0.1111111111111111,1.0,0.0,0.8888888888888888,0.6712110326872681,0.6701015620980078,-0.001109470589260364,0.0,0.06519319398454952,0.08865606022655123,0.3065015479876161,0,0.1,oracle_all_endpoints,2
30,5,0,0.06666666666666667,1.0,0.0,0.9333333333333333,0.6653167370184837,0.6642617327054217,-0.0010550043130620468,0.0,0.0702515343020988,0.10374531636911974,0.19555061179087874,0,0.1,oracle_all_endpoints,3
32,5,0,0.0625,1.0,0.0,0.9375,0.6662605741832348,0.6653388259686933,-0.0009217482145414957,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.1,oracle_all_endpoints,4
9,1,0,0.2222222222222222,1.0,0.0,0.7777777777777778,0.6865828038515341,0.6884388056944435,0.0018560018429093494,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.1,static_initial,1
18,3,0,0.16666666666666666,1.0,0.0,0.8333333333333334,0.6712110326872681,0.6729668818623235,0.0017558491750553351,0.0,0.06806152784355077,0.08955904196154649,0.48606811145510836,0,0.1,static_initial,2
