seed,stop_quantile,oracle_valuable_run_recall,completed_only_valuable_run_recall,delta_valuable_run_recall,oracle_valuable_false_stop_rate,completed_only_valuable_false_stop_rate,delta_valuable_false_stop_rate,oracle_stop_rate,completed_only_stop_rate,delta_stop_rate,oracle_endpoint_observation_rate,completed_only_endpoint_observation_rate,delta_endpoint_observation_rate,oracle_endpoint_selection_bias,completed_only_endpoint_selection_bias,delta_endpoint_selection_bias,oracle_simple_regret_batch,completed_only_simple_regret_batch,delta_simple_regret_batch,oracle_mae,completed_only_mae,delta_mae,oracle_rmse,completed_only_rmse,delta_rmse,oracle_spearman,completed_only_spearman,delta_spearman
0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.9375,0.9375,0.0,-0.0009217482145414957,-0.0009217482145414957,0.0,0.0,0.0,0.0,0.07014203751273877,0.07269545171427119,0.0025534142015324196,0.10197794030915046,0.10300975701067515,0.0010318167015246904,0.19648093841642225,0.19024926686217006,-0.006231671554252194
0,0.15,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.34375,0.09375,0.75,0.65625,-0.09375,0.005940892613887749,0.00667242844355842,0.0007315358296706709,0.0,0.0,0.0,0.07014203751273877,0.06691877821613773,-0.0032232592966010415,0.10197794030915046,0.09598659234272734,-0.005991347966423116,0.19648093841642225,0.26832844574780057,0.07184750733137832
0,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.34375,0.09375,0.75,0.65625,-0.09375,0.005940892613887749,0.00667242844355842,0.0007315358296706709,0.0,0.0,0.0,0.07014203751273877,0.06691877821613773,-0.0032232592966010415,0.10197794030915046,0.09598659234272734,-0.005991347966423116,0.19648093841642225,0.26832844574780057,0.07184750733137832
0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.28125,0.34375,0.0625,0.71875,0.65625,-0.0625,0.006033325690558922,0.00667242844355842,0.0006391027529994986,0.0,0.0,0.0,0.07014203751273877,0.06691877821613773,-0.0032232592966010415,0.10197794030915046,0.09598659234272734,-0.005991347966423116,0.19648093841642225,0.26832844574780057,0.07184750733137832
0,0.3,1.0,1.0,0.0,0.0,0.0,0.0,0.3125,0.34375,0.03125,0.6875,0.65625,-0.03125,0.005901659542058457,0.00667242844355842,0.000770768901499963,0.0,0.0,0.0,0.07014203751273877,0.06691877821613773,-0.0032232592966010415,0.10197794030915046,0.09598659234272734,-0.005991347966423116,0.19648093841642225,0.26832844574780057,0.07184750733137832
0,0.35,1.0,1.0,0.0,0.0,0.0,0.0,0.3125,0.34375,0.03125,0.6875,0.65625,-0.03125,0.005901659542058457,0.00667242844355842,0.000770768901499963,0.0,0.0,0.0,0.07014203751273877,0.06691877821613773,-0.0032232592966010415,0.10197794030915046,0.09598659234272734,-0.005991347966423116,0.19648093841642225,0.26832844574780057,0.07184750733137832
0,0.4,1.0,1.0,0.0,0.0,0.0,0.0,0.3125,0.34375,0.03125,0.6875,0.65625,-0.03125,0.005901659542058457,0.00667242844355842,0.000770768901499963,0.0,0.0,0.0,0.07014203751273877,0.06691877821613773,-0.0032232592966010415,0.10197794030915046,0.09598659234272734,-0.005991347966423116,0.19648093841642225,0.26832844574780057,0.07184750733137832
0,0.45,1.0,1.0,0.0,0.0,0.0,0.0,0.3125,0.34375,0.03125,0.6875,0.65625,-0.03125,0.005901659542058457,0.00667242844355842,0.000770768901499963,0.0,0.0,0.0,0.07014203751273877,0.06691877821613773,-0.0032232592966010415,0.10197794030915046,0.09598659234272734,-0.005991347966423116,0.19648093841642225,0.26832844574780057,0.07184750733137832
0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.34375,0.5,0.15625,0.65625,0.5,-0.15625,0.004936417346051103,0.007395878703301384,0.002459461357250281,0.0,0.0,0.0,0.07014203751273877,0.06655492578533379,-0.0035871117274049874,0.10197794030915046,0.09616976955487372,-0.00580817075427674,0.19648093841642225,0.23093841642228732,0.03445747800586507
0,0.55,1.0,1.0,0.0,0.0,0.0,0.0,0.34375,0.5,0.15625,0.65625,0.5,-0.15625,0.004936417346051103,0.007395878703301384,0.002459461357250281,0.0,0.0,0.0,0.07014203751273877,0.06655492578533379,-0.0035871117274049874,0.10197794030915046,0.09616976955487372,-0.00580817075427674,0.19648093841642225,0.23093841642228732,0.03445747800586507
0,0.6,1.0,1.0,0.0,0.0,0.0,0.0,0.375,0.5,0.125,0.625,0.5,-0.125,0.004258119034830976,0.007395878703301384,0.003137759668470408,0.0,0.0,0.0,0.07014203751273877,0.06655492578533379,-0.0035871117274049874,0.10197794030915046,0.09616976955487372,-0.00580817075427674,0.19648093841642225,0.23093841642228732,0.03445747800586507
1,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.0,0.9772727272727273,0.9772727272727273,0.0,-0.00012725355553699913,-0.00012725355553699913,0.0,0.0,0.0,0.0,0.048748258519987916,0.04899622034700684,0.0002479618270189235,0.06936251438519846,0.06926502377406397,-9.749061113448199e-05,0.3351315195107941,0.24766710163580655,-0.08746441787498757
1,0.15,1.0,1.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.9545454545454546,0.9545454545454546,0.0,-0.0005167667349121885,-0.00046850997886482837,4.825675604736013e-05,0.0,0.0,0.0,0.048748258519987916,0.04899622034700684,0.0002479618270189235,0.06936251438519846,0.06926502377406397,-9.749061113448199e-05,0.3351315195107941,0.24766710163580655,-0.08746441787498757
1,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.06818181818181818,0.06818181818181818,0.0,0.9318181818181818,0.9318181818181818,0.0,-0.0008758468070863001,-0.0008758468070863001,0.0,0.0,0.0,0.0,0.048748258519987916,0.04899622034700684,0.0002479618270189235,0.06936251438519846,0.06926502377406397,-9.749061113448199e-05,0.3351315195107941,0.24766710163580655,-0.08746441787498757
