seed,metric,slope_per_unit_quantile,slope_per_10pct_quantile
31,delta_valuable_false_stop_rate,0.0,0.0
31,delta_simple_regret_batch,0.0,0.0
32,delta_valuable_run_recall,0.11363636363636365,0.011363636363636366
32,delta_valuable_false_stop_rate,-0.11363636363636365,-0.011363636363636366
32,delta_simple_regret_batch,-0.09390900228504016,-0.009390900228504017
33,delta_valuable_run_recall,-1.3363636363636369,-0.1336363636363637
33,delta_valuable_false_stop_rate,1.3363636363636369,0.1336363636363637
33,delta_simple_regret_batch,0.0,0.0
34,delta_valuable_run_recall,-0.9220779220779224,-0.09220779220779224
34,delta_valuable_false_stop_rate,0.9220779220779224,0.09220779220779224
34,delta_simple_regret_batch,0.0,0.0
35,delta_valuable_run_recall,-1.4318181818181823,-0.14318181818181824
35,delta_valuable_false_stop_rate,1.4318181818181823,0.14318181818181824
35,delta_simple_regret_batch,0.0,0.0
36,delta_valuable_run_recall,-0.5454545454545453,-0.054545454545454536
36,delta_valuable_false_stop_rate,0.5454545454545454,0.05454545454545454
36,delta_simple_regret_batch,-0.05655398567984435,-0.005655398567984435
37,delta_valuable_run_recall,-0.15702479338842987,-0.015702479338842987
37,delta_valuable_false_stop_rate,0.15702479338842976,0.015702479338842976
37,delta_simple_regret_batch,0.0,0.0
38,delta_valuable_run_recall,-0.9848484848484851,-0.09848484848484851
38,delta_valuable_false_stop_rate,0.9848484848484851,0.09848484848484851
38,delta_simple_regret_batch,0.0,0.0
39,delta_valuable_run_recall,0.06993006993007006,0.006993006993007006
39,delta_valuable_false_stop_rate,-0.06993006993006991,-0.006993006993006991
39,delta_simple_regret_batch,-0.10906840095398551,-0.010906840095398551
40,delta_valuable_run_recall,-0.2727272727272727,-0.02727272727272727
40,delta_valuable_false_stop_rate,0.2727272727272727,0.02727272727272727
40,delta_simple_regret_batch,0.0,0.0
41,delta_valuable_run_recall,-1.376623376623377,-0.1376623376623377
41,delta_valuable_false_stop_rate,1.3766233766233769,0.13766233766233768
41,delta_simple_regret_batch,-1.797719171843204e-16,-1.797719171843204e-17
42,delta_valuable_run_recall,,
42,delta_valuable_false_stop_rate,,
42,delta_simple_regret_batch,0.0,0.0
43,delta_valuable_run_recall,-1.1735537190082648,-0.11735537190082648
43,delta_valuable_false_stop_rate,1.1735537190082648,0.11735537190082648
43,delta_simple_regret_batch,0.0,0.0
44,delta_valuable_run_recall,0.09790209790209782,0.009790209790209782
44,delta_valuable_false_stop_rate,-0.09790209790209782,-0.009790209790209782
44,delta_simple_regret_batch,0.0,0.0
45,delta_valuable_run_recall,-1.3636363636363642,-0.13636363636363644
45,delta_valuable_false_stop_rate,1.3636363636363642,0.13636363636363644
45,delta_simple_regret_batch,0.0,0.0
46,delta_valuable_run_recall,-0.16528925619834695,-0.016528925619834694
46,delta_valuable_false_stop_rate,0.16528925619834714,0.016528925619834715
46,delta_simple_regret_batch,-0.06230399543319721,-0.006230399543319721
47,delta_valuable_run_recall,-0.013986013986014066,-0.0013986013986014066
47,delta_valuable_false_stop_rate,0.01398601398601397,0.001398601398601397
47,delta_simple_regret_batch,0.0,0.0
48,delta_valuable_run_recall,-0.9350649350649355,-0.09350649350649355
48,delta_valuable_false_stop_rate,0.9350649350649355,0.09350649350649355
48,delta_simple_regret_batch,0.0,0.0
49,delta_valuable_run_recall,-0.7272727272727274,-0.07272727272727274
49,delta_valuable_false_stop_rate,0.7272727272727274,0.07272727272727274
49,delta_simple_regret_batch,0.0,0.0
